Intent,Keywords_ZH,Keywords_EN,Priority,Slots,Description
music.play,"播放,放一首,来一首,给我播放一个,放个,来点音乐,给我放,听一首,我想听,我想听歌,给我来一首,点首,来首,听听","play,listen to,start playing,put on,queue,play me,i want to hear,let me hear,start",1,"keyword,artistName","播放指定歌曲或开始播放音乐"
music.pause,"暂停,停一下,先停,停下,别放了,先暂停,停止播放","pause,stop playing,hold,wait",2,"","暂停当前播放"
music.resume,"继续播放,继续,继续放,接着放,接着播放,恢复播放","resume,continue,keep playing,go on,unpause",3,"","恢复已暂停的播放"
music.next,"下一首,切歌,下一曲,跳过,换一首,换首歌,不听这个了","next,skip,next track,next song,skip this",4,"","切到下一首"
music.previous,"上一首,上一曲,切回去,上一个,回到上一首,退回去,前一首","previous,prev,go back,last track,previous song",5,"","切到上一首"
music.now_playing,"现在播放的是什么,现在播放的是啥,当前是哪首歌,现在在放什么,现在放的是啥,这是什么歌,这首歌叫什么,在放什么","what is playing now,what song is this,now playing,current track,what am i listening to",6,"","查询当前播放信息"
music.volume.set,"音量调到,调到,把音量调到,音量设为,声音大小,调大声,调小声,音量大一点,音量小一点,大声一点,小声一点,音量","set volume to,volume,turn up,turn down,louder,quieter",7,"volumePercent","设置音量"
music.favorite.add,"收藏这首歌,收藏这首,加到我喜欢,标记收藏,喜欢这首,收藏一个,我喜欢这首","favorite this,save this song,like this,heart this,add to favorites,love this song,mark as favorite",8,"","收藏当前歌曲"
music.favorite.list,"查看收藏,看看收藏,我的收藏,收藏列表,收藏了什么,收藏了哪些","show favorites,list favorites,my favorites,saved songs,liked songs",9,"","查看收藏列表"
music.playlist.add_track,"把这首歌加入歌单,把这首加入歌单,把这歌加入歌单,加入歌单,添加到歌单,加入播放列表,添加到播放列表","add this song to playlist,add to playlist,put this in playlist,save to playlist",10,"playlistName","把当前歌曲加入指定歌单"
music.download.track,"下载这首歌,下载当前歌曲,把这首歌下载下来,下载一个,保存这首歌,下载当前","download this song,download current,save this track,download this",11,"","下载当前歌曲"
music.download.status,"下载好了没,看下下载进度,下载进度,下载完了吗,下好了吗,下载状态","download status,is download done,download progress,download finished,is it downloaded yet",12,"","查询下载状态"
music.download.list,"查看下载列表,打开下载列表,看下我下载了什么,我下载了什么,下载记录,下载历史","list downloads,show downloads,my downloads,download history,downloaded songs",13,"","查看下载列表"
agent.recommend.play,"来点适合写代码的,来点写代码听的,写代码的时候听什么,来点适合编程的,来点适合工作的,来点工作听的,来点适合学习的,来点运动听的,来点适合跑步的,来点适合健身的,来点安静的,放点安静的,想听安静一点的,来点轻一点的,来点适合放松的,来点适合睡前听的,来点适合开车听的,来点适合做饭的,来点适合冥想的,来点欢快的,来点嗨的","play something for coding,play music for work,play something chill,play something for exercise,play workout music,play something relaxing,play study music,play something upbeat",14,"scene","根据场景推荐播放"
agent.recommend.preference,"按我的喜好播放,按我的喜好来点,来点我喜欢的,放点我喜欢的,根据我的口味来,推荐点我喜欢的","play my favorites,based on my taste,play what i like,recommend for me",15,"","基于个人偏好推荐播放"
agent.memory.preference.positive,"记住我喜欢,我喜欢这种,以后多放,我喜欢这个风格,多放点这种,我喜欢这个歌手,记住我爱听","remember i like,i like this style,more of this,i love this artist,remember my preference",16,"note","记录正向偏好"
agent.memory.preference.negative,"以后别放,不要再放,我不喜欢这种,别放这类了,不要放这种,以后少放,我讨厌这种,不要再推荐这种","dont play this,stop recommending,i dont like this,no more of this,i hate this style",17,"note","记录负向偏好"
